Comentario,Nota,sentimento
"O filme começa como quem não quer nada, e quando menos se espera, até de forma gradativa, você percebe que já está imerso dentro de um universo incrível, misterioso e assustador. Que por mais cruel e sombrio que seja, você não quer mais sair dali.",5.0,positivo
Poetic cinema!,5.0,positivo
Oui.,5.0,positivo
"اولین چیزی که درباره این فیلم نظر من را به خودش جلب کرد . تاثیر عظیمی هستش که این اثر بر روی فیلم بزرگی چون کوایدان اثر ماساکی کوبایاشی گذاشته است . اینکه یک فیلمساز بتواند یک روایت انسانی در فضای اسطوره ای و فانتزی خلق کند ، بی شک کاری شگفت انگیز است .
این اولین فیلم است که من از کنجی میزوگوچی تماشا میکنم . باید اعتراف کنم ، به شدت اثر قدرتمندی بود ، فیلم برداری و موسیقی و همین طور فضا سازی این اثر ، مخاطب را محسور خود می کند ، در یک سکانس از فیلم که شخصیت ها در قایقی کوچک در حال سفر هستند ، به یکباره به یک مسافر خسته و مریض بر می خورند و گفت و گو هایی میان آنها رد و بدل می شود ، دوربین از زاویه هایی شخصیت ها را تحت سیطره خود قرار می دهد که مخاطب از خود سوال می کند ، کارگردان و دوربین در حال حاضر در کجا واقع شده اند؟ ایا در وسط رودخانه ؟ این لحظه در دوران خود بی نظیر است.
در فیلم نامه این اثر به نوعی رگه ای شاعرانه وجود دارد که فضا و حالتی اسطوره ای و افسانه به آن می بخشد. فیلم در ابتدا کاملا بر واقع گرایی و رئال استوار است ، اما در اواسط و اواخر فیلم مخاطب شاهد فضاهایی سورئال است و این تغییر ماهیت فیلم نه تنها آسیبی به بافت داستانی وارد نمی کند ، بلکه در داستان و حوادث فیلم را از حد خود فرا تر می برد و به آنها ماهیتی ماورالطبیعی می بخشد و این نکته در اینجا مطرح است که تمام تغییرات موجود در این فیلم تکیه گاه و پشتیبانی محکم از احساسات و عواطف انسانی دارند ، به همین دلیل تلخی داستان فیلم تا این اندازه اثر گذار است.
آکیرا کوروساوا و همین طور یاسیجیرو ازو کارگردانانی هستند که میتوانند احساسات صحنه ها و سکانس های رویارویی شخصیت هایشان را به مخاطب منتقل کنند .
مخاطب می تواند احساس آن دختر کوچک را در ریش قرمز زمانی که کاسه را می شکند و از شدت شرم و خجالت زدگی سرش را پایین می اندازد درک کند.
مخاطب می تواند تنهایی و غم یک پدر و یا همسر را در فیلم های ازو درک کند.
کنجی میزوگوچی و سینمایش این امتیاز را داراست و مخاطب در مقابل غم و تلخی که در این فیلم وجود دارد احساس شرم و سرشکستگی کند .
این ویژگی بسیار خاص است.",5.0,positivo
"مرگ و زندگی
حقیقت و رویا
حرص، آز و طمع
و در آخر «جنون»
خلاصه‌ای از شخصیت‌های سردرگمی که به دنبال ثروت راه نابودی در پیش گرفتن",4.0,positivo
Isso que é uma construção crescente entre os atos bem feita. Sabe quando você não sabe se entende o que significa uma obra prima? esse filme é um daqueles que da pra se usar de explicação.,5.0,positivo
"Que trabalho impecável!
Um dos melhores assistidos do ano!",4.5,positivo
"Il film di Kenji Mozoguchi è definito dalla critica fra i migliori capolavori del cinema giapponese. La trama è davvero semplice: nel Giappone del XVI secolo in clima di guerra civile il vasaio Genjurô e il cognato Tobei aspirante samurai, una volta costretti a lasciare la città assieme alle mogli, decidono di separarsi temporaneamente da quest'ultime il primo per incrementare la sua vendita di ceramiche e il secondo per raggiungere il suo sogno.
Sin dalla prima visione, Ugetsu è entrato di diritto fra i miei film preferiti di ogni tempo, oltre che per uno dei finali più belli e commoventi mai visti in vita mia, soprattutto per la sua capacità di affrontare così tante tematiche in così poco tempo: partendo dal ruolo dell'uomo e della donna nella storia nipponica arrivando alla concezione giapponese di 'fantasma'; infatti, i fantasmi nel film, alcuni benevoli e altri maligni, sono tutti in carne ed ossa in quanto non esiste nella loro concezione l'idea del fantasma 'invisibile' diffusasi nella nostra cultura, poichè se il processo immaginifico tramite cui creiamo l'idea di fantasma non potrà mai prescindere dal piano della realtà e dai nostri sensi allora non ci si dovrà stupire se gli stessi fantasmi sono rappresentati fisici e tangibili.",4.5,positivo
"10/10
L'amore.",5.0,positivo
"Mizoguchi at the top of his game. La he recuperado en su nueva versión restaurada y esta vez me ha recordado mil a Amanecer de Murnau. Tampoco la recordaba tan castigadora y dura, parece un melodrama de Douglas Sirk pero con fantasmas japoneses old school.",5.0,positivo
"القصة الشعبية التي يصنعها ميزوغوشي من خياله السينمائي البصري أعظم بالنسبة لي من تلك القصة الشعبية التي يتادولها الناس 

 الخيال السينمائي عند ميزوغوشي من أعظم الخيالات الشاعرية على الإطلاق",4.0,positivo
"‘how high can a man rise 
without big dreams? 
ambition must be boundless 
as the ocean.’ 
es una de las mejores cosas que vi en toda mi vida. 
una película que combina muchos elementos y muestra TANTAS cosas. 
uno de los principales factores que se presentan es la ambición del hombre cuando se trata del dinero; de llegar a cierto poder y, por lo tanto, aparentar ser alguien más…. alguien distinto a lo que era, ya que el dinero cambió todo eso. de hecho, eso se lo habían advertido a Miyagi, ella se lo aclaró a Genjurô, pero aun así la ambición siempre es más fuerte. 
por otro lado, los aspectos sobrenaturales!!! ese fantasma, el cual demuestra y señala el grande nivel de deseo que tenía Genjurô de su “vida soñada”, el cual luego lo lleva a darse cuenta de su egoísmo, de esa fantasía y de ese anhelo imposible; Lady Wasaka es la demostración de la dualidad entre la vida de Genjurô, quien trabajaba horas y horas al día para poder ganar algo de dinero (junto a Tôbei, Miyagi y Ohama), y su fantasía. tiempo después, luego de haber sido percatado por el cura, decide volver a su vida real, a lo que había abandonado y dejado atrás. allí de da cuenta de la realidad a la que se enfrentaba, ya que con las visiones de Lady Wasaka había sido totalmente opacada, y esto mismo demuestra cómo Genjurô tenía que afrontar la vida, por más que se encuentre con millones de obstáculos; también dejar la ambición de lado y enfocarse en lo que realmente importa. este lado fantástico se puede ver muy sutilmente y a veces se logra diferenciar la realidad entre ese aspecto sobrenatural (lo cual es fascinante).
algo similar sucede con Tôbei, quien soñaba con ser un samurai, debido a que estaba harto de su pobreza. Ohama siempre quería recordarle lo imposible que eso sería, pero él nunca escuchó. por eso mismo, cuando en un momento por fin lo consigue, se encuentra a Ohama y se percata del daño que le hizo a Ohama y de lo poco que significaba ser samurai sin estar a su lado. 
al mismo tiempo, se puede observar el gran contraste entre las ambiciones de los dos hombres protagonistas con sus respectivas parejas, Miyagi y Ohama, quien la primera mencionada fue asesinada por piratas en busca de comida, dejando abandonado a su hijo y, por otro lado, tenemos a Ohama quien fue violada por samurais ya que Tôbei la había dejado completamente sola en busca de su “sueño”. tiempo después, Ohama tuvo que prostituirse debido a que esa era la única forma de conseguir dinero. 
habiendo mencionado sus situaciones, en esta película se ve reflejado el poco trato que se le tenía (o más bien tiene lamentablemente) a las mujeres, quienes estaban al lado de Genjurô y Tôbei todo el tiempo, pero fueron apartadas por ellos dado que el dinero les ganó. 
finalmente, ambos hombres fueron liberados de su codicia y se dieron cuenta que su familia era lo más importante y lo que debían cuidar, por más que les haya costado un gran sacrificio y haya tenido grandes consecuencias. 
quiero agregar el hecho de que tiene demasiadas fusiones de géneros, cómo se puede ver la época de la guerra en Japón, los paisajes y lugares mostrados de una forma bellísima; las costumbres japonesas, que se pueden observar tan atenta y detalladamente. 
la escena del bote!!!! todo ese humo!!
el uso de sombras y las dissolve shot DIOS!!! 
la música y los sonidos… espeluznante por momentos. la escena final de Genichi…. LÁGRIMAS. 
esta película es simplemente perfecta y resalto todo de ella. Mizoguchi hizo un trabajo espectacular…. goat",5.0,positivo
"”Kevään avaus” pienoisfestareilla sain vihdoin nähdä myös tämän Mizoguchin mestariteoksen.
Kävin vielä lisäämässä puolikkaan tähden tälle 😊",4.5,positivo
"Mizoguchin taide on kaikkein monisyisintä, koska se on kaikkein yksinkertaisinta.
– Jean-Luc Godard
Japanilaisista kummituselokuvista klassisimmassa savenvalaja Genjūrō (Masayuki Mori) ja hänen samurain urasta haaveileva lankonsa Tōbei (Eitaro Ozawa) lähtevät ajamaan takaa unelmiaan vaimojensa toiveista piittaamatta ja heidät ja perheensä oman onnensa nojaan jättäen. Seuraukset ovat traagiset (joskin tuotantoyhtiön painostamana Mizoguchi joutui taipumaan optimistisempaan loppuratkaisuun kuin olisi halunnut, kuulemma). Tarinan historiallisena viitekehyksenä on Azuchi–Momoyama-kauden (1568–1600) raaka sisällissota ja käsikirjoituksen perustana kaksi Edo-kaudelta (1603–1867) periytyvää yliluonnollista kertomusta, jotka julkaistiin ensimmäisen kerran Ueda Akinarin kirjassa vuonna 1776.
Tästä historiallisesta ja yliluonnollisesta kehyksestä huolimatta Ugetsu – kalpean kuun tarinoita kertoo tietysti omasta ajastaan ja heijastelee Mizoguchin ja monen muun japanilaisen tuntoja hävityn ja hirvittävää tuhoa aiheuttaneen maailmansodan jälkeisessä yhteiskunnallisessa myllerryksessä. Ohjaaja oli sodan aikana itsekin tehnyt patrioottista uhoa pönkittäneitä propagandaelokuvia ja poti siitä kaiketi jonkinlaista syyllisyyttä. Naisten kärsimys, tavallisesti miesten itsekkäästä toiminnasta johtuva, on yksi hänen koko tuotantoaan läpileikkaava teema, ja tässä siihen siis yhdistyy myös pasifismi.
Jotkut ovat nähneet Genjūrōn, tuon aristokraattisen aavenaisen viettelemäksi joutuvan käsityöläistaiteilijan, tarinassa myös omaelämäkerrallisia piirteitä. Tämän enempää elokuvan mahdollisiin piilomerkityksiin nyt syventymättä totean lyhyesti, että Ugetsu on minusta ennen kaikkea sanoinkuvaamattoman kaunis faabeli, realismin ja fantasian välillä luontevan itsevarmasti liikkuva lyyrinen mestariteos, joka ei lakkaa kiehtomasta mieltä. Näin sen ensimmäisen kerran jo pikkupoikana huonolaatuisesta televisiosta ja vaikka en silloin vielä mitään ymmärtänytkään niin silti elokuvan eteerinen tunnelma ja tietyt yksittäiset kuvat, kuten usvaisella järvellä hiljalleen lipuva vene, piirtyivät lähtemättömästi mieleen. Vuosikymmenten saatossa, uusien katselukertojen myötä, teos on vähitellen noussut omien lempileffojeni joukkoon eikä sen asema näytä horjuvan, pikemminkin päinvastoin. Nyt, heti aihepiiriltään samantapaisen mutta aivan toisentyylisen Kwaidanin perään katsottuna, elokuva tuntui yllättäen myös paljon sähäkämmältä ja viihdyttävämmältä kuin millaisena olen sen muistanut.
Läheskään täydellinen elokuva Ugetsu ei ole, mutta rakastan sitä silti.",5.0,positivo
She kenji on my mizo till I guchi,4.0,positivo
"Não sei se inaugura, mas demarca um modelo de drama/fantasia/terror que mistura com muita eficiência um realismo, denunciando o horror da guerra civil, a situação de abandono e falta de perspectivas das comunidades naquele Japão feudal; com o folclore, as tradições místicas e religiosas, mais precisamente na figura dos yureis (fantasmas).
Traz também uma abordagem pungente sobre a posição da mulher naquele país.
Desdenhada e escanteada pelos planos pessoais e pela ambição do homem. A sede por dinheiro, status ou glória.
Miyagi e Ohama, além da entrega e companheirismo são a tentativa de racionalidade no seio familiar (teoricamente tão valorizado na tradição japonesa) que tentam de todas as formas despertar os maridos de suas fantasias.
Mas acabaram enfrentando o desprezo, o abandono, a fome, a violência e a indiferença enquanto Tobei e Genjuro desfrutam suas glórias fictícias.
O espaço, retratado nas paisagens, nas relações sociais e nas tradições ganha enorme força através dos planos longos e imersivos, assumindo uma função determinante no cotidiano daqueles personagens.
É um filme trágico e pessimista, mas extremamente poético e belo.
E essa mistura dosada de forma perfeita e magistral por Mizoguchi torna esta obra um exemplo clássico da grandiosidade do cinema japonês.",5.0,positivo
lady wakasa be like,0.0,
"Vraiment génial, c'est deep d'être un homme... Ça a pris des directions et des tournants que j'aurais jamais pu anticiper. J'ai l'impression d'avoir vu plusieurs films en un et c'est étrange de la meilleure des façons",4.0,positivo
"""دون طموحات كبرى لن يرتقي الإنسان ،فالطموحات عظيمة كعظمة المحيط""
يكشف الفيلم تخيلات أعمق لمشاعرنا و كيف يمكن أن تخطف عقولنا من سيطرتنا.
يكسب بذاته عند كل منعطف ممكن نهاية سعيدة مفعمة بالأمل، وحتى عندما يتم تحقيق هذه النتيجة المرضية، فإن ضباب الخسارة يلوح في الأفق يطارده.
يحكي بشكل لافت للنظر وسينمائيًا عن أهمية الأسرة و العيش تحت غرار تحقيق الطموح و الجشع وحب المال، خاصة في زمن الكوارث التي من صنع الإنسان والمعاناة العامة.
أحد الأفلام العديدة التي ينبغي أن تساعد في فهم الحالة الإنسانية، والأهم من ذلك الخطوات التي ينبغي اتخاذها لمنع المعاناة الوجودية التي يمكن أن تسيطر على الأشخاص في مثل هذه التجربة.
قد يكون الفيلم يابانيًا قدر الإمكان، لكنه في جوهره فيلم يجب أن يتحدث إلى الجميع....
أجزاء قصة الأشباح السريالية قد تكون غريبة و في غير موضعها و لكنها لا تشتت الانتباه، و تضيف نغمة مرعبة لذا يعتبر هذا العمل كلاسيكيًا فقط بسبب سرده الذكي للقصة حول ""كيف أن الجشع هو حماقة الإنسان.""
قد تبدو القصة في كل دقيقة اكثر فوضوية من الدقيقة التي تليها و لكن إذا كنت في مزاج لقصة خيالية جميلة ومأساوية فالتخض تجربتك.",4.0,positivo
"небольшая азиатская картина, способная заставить вас задуматься о жизни, особенно когда речь идет о деньгах, успехе и семье.",4.0,positivo
"Qualquer nota que eu escreva aqui já foi falada por alguém, seja pela moral do filme e analogia à guerra à filosofia humana ou o quão genial é a câmera e a direção de Mizoguchi. Mas quero pontuar duas questões (contém spoilers): A cena onde o “soldado” bebe o líquido envenenado fazendo uma menção direta ao que de fato rolou na guerra do Japão, e na outra cena quando um deles tropeça nos destroços do relevo, fator também acontecido quando os combatentes voltaram da guerra e viram seu país devastado em escombros.
Vou bater no martelo e mencionar o quanto sou fascinada pela atmosfera sombria, sobrenatural e onírica do filme.
A trilha sonora magnífica e as atuações impecáveis.
A bruxaria tem total conexão e as mulheres são sempre muito sábis em seus filmes e não possuem a maldade humana.
Ps: Eu só li as resenhas que deram 5 estrelas, pois nenhuma nota abaixo dessa é admissível.
Um dos maiores filmes da história do mundo.
Um momento inenarrável assistir a isto numa projeção bitola 16 mm num cinema local.
🎥 Mostra de cinema japonês. Fundaj Derby.",5.0,positivo
"Mostra de Clássicos do Cinema Japonês | Cinema Fundação
Quando vi que Ugetsu ia passar em 16mm em um das salas da fundação, soube que teria que ver. A experiência foi incrível e gostei do filme mais do que imaginava.
Ugetsu nos mostra a vida de dois casais que, apesar dos desejos diferentes, se ajudam em busca de dinheiro e melhores condições de vida. Fugindo dos soldados, eles vão de barco até outra cidade, deixando a esposa de Genjuro e seu filho na vila onde moram. Essa viagem de barco rende uma cena linda, que marcou o momento em que comecei a prestar mais atenção no som que o filme apresenta, o som característico do filme em si sendo projetado, assim como a ambientação, as canções.
Enquanto o desejo de se tornar samurai cega Tobei e o leva a abandonar a esposa, que acaba sendo abusada pelos soldados numa cena dolorosa, Genjuro parte até a mansão onde conhece Wakasa e ela deseja que eles se casem. Pouco depois, a cena de Wakasa cantando me chama atenção, uma voz grave começa a cantar junto com ela e quando ela para, diz que é seu pai, já falecido. É minha cena favorita, o filme se mistura com um terror, avisa o momento que as coisas começam a se agravar e é visualmente linda, a voz de Wakasa e de seu pai também são. Logo, Genjuro descobre a verdade sobre Wakasa e ao voltar pra sua vila, vê a vida que conhecia em pedaços.
Ugetsu é encantador, assustador e finaliza de forma trágica. Todo seu charme ainda é elevado (na minha opinião) quando somado às marcas do tempo no rolo do filme, em momentos como o de Wakasa cantando, a cena treme, o som falha levemente, a imagem escurece, adicionando ainda mais terror e drama a cena. Quase os mesmos efeitos se repetem na cena final, antes do preto com letras brancas que diz ""fim"", como se Wakasa ainda te acompanhasse ao final da exibição.",4.5,positivo
"Je suis vraiment admiratif de la manière dont Mizoguchi crée des espaces grâce aux mouvements de caméra, l'impression d'une connexion totale de ces espaces dans lesquels tout se ressent et tout est en vie, du lac à la rue, des hommes aux femmes, et du rêve à la matière.",4.0,positivo
"“el éxito siempre tiene un precio en sufrimiento”
de amplia autenticidad y sensibilidad; de notoria compasión y mirada comprensiva hacia las mujeres, mayores víctimas de la codicia y afán de poder que arrastra a sus parejas como una intensa corriente. una combinación muy precisa entre lo sobrenatural/fantástico y la realidad, dolorosa por la intensa lucha, la pérdida y el perdón",4.5,positivo
"""la guerra cambia a las personas""",4.5,positivo
"мужики, пытающиеся чего-то добиться в жизни, – конченые меркантильные мудаки, обрекающие мудрых японских трэдвайф на страдания. надеюсь, они передохнут в войнах, а останутся только не рыпающиеся с дивана масики.
what a way to go на ту же тему на несколько голов выше, потому что не на серьёзных щщах.",2.5,negativo
"O que é isso que eu acabei de ver?
Contraste entre inferno e paraíso. Realidade e ilusão. Guerra e paz. Que filme sensacional. Em uma futura revisão falarei mais sobre o filme… agora me resta dizer que estou sem palavras. 
Primeiro filme que vejo desse diretor (o qual já estava querendo conhecer faz tempo). Espero que os outros estejam neste nível, embora eu espere ainda mais de Intendente Sansho.
(Tô indeciso entre 4.5 e 5).",4.5,positivo
"Una storia con una morale chiara (l'importanza di ricordare le proprie responsabilità, soprattutto quelle verso le persone care) nasconde una sottile critica ad un modello sociale che permette agli uomini di inseguire le proprie ambizioni lasciando le donne indietro ad occuparsi del resto.
Un lavoro intelligente e stratificato accompagnato da una elegantissima messa in scena.",4.0,positivo
"zasnęłam na dobre pół godziny, musze objerzeć jeszcze raz........................",0.0,
"Ein toller Film, der viele Probleme anschneidet die sich sehr einfach auch noch auf die heutige Zeit aber besonders auf die 50er anwenden lassen.
Subtiler als viele andere Antikriegsfilme aber Recht offensichtlich in der Sozialkritik.",4.0,positivo
"Mi primera película de Mizoguchi y bingo. Una película que te va ganando poco a poco, a medida que las consecuencias de los actos de los protagonistas se van manifestando.
Un drama de época, con toques de cine de samurais y fantástico, sobre cómo el exceso de ambición puede hacer perderlo todo, con el trasfondo de la tragedia que suponen las guerras para la población civil.
Tarda un poco en arrancar y, durante buena parte del metraje, la trama se dispersa un poco con los personajes. Pero todo el último tercio es fabuloso, con momentos realmente conmovedores, como la despedida de cierto personaje, copiada en películas y series bastante recientes.
Gran trabajo de fotografía, jugando con la luz y los contrastes de iluminación, además de algunas estupendas elecciones de perspectiva a la hora de rodar algunos planos.
Película triste pero hermosa, sobre aprender a valorar lo que se tiene y lo que realmente importa, la gente que quieres y que te quiere, permaneciendo juntos en lugar de perseguir quimeras. 🇺🇦",4.5,positivo
"É simplesmente um dos maiores filmes japoneses de todos os tempos – não, melhor, é um dos maiores filmes de todos os tempos, ponto. Mizoguchi parte de um famoso livro de contos de Akinari Ueda, e conjuga algumas histórias marcadas pelo fantástico e fantasmagoria. A principal, que serve como moldura, é de um camponês que também produz cerâmicas e vende na cidade, e, mesmo casado, acaba se envolvendo com uma jovem de um clã muito rico. O desenrolar é surpreendente, e, ao mesmo tempo, poético e violento. Aliás, gosto muito como a violência é retratada no filme. Zero fator de choque, é algo quase normal, só mais um elemento na vida das personagens – até uma decapitação não tem o menor senso de espetacularização. Nos comentários do DVD (Box O Cinema de Kenji Mizoguchi Volume 1 da Versátil), numa análise do filme é dito que o diretor não gostava muito do longa, e achava um dos seus menores. Puro autoengano.",5.0,positivo
"1953- Kenji Mizoguchi filma essa cena.
1969- Michael Snow lança esse filme.",5.0,positivo
"Ugh, men.",4.5,positivo
"دوربین میزوگوچی خیلی خوب حرکت میکنه. به خصوص توی این فیلم، ترنزیشن های میان سکانس ها فوق العاده انجام میشدن
همینطور نماهایی که گرفته میشه نشون دهنده زیبایی شناسی استادانه میزوگوچی هستن.
به طور مثال اون سکانسی که دو خانواده روی یک قایق کوچیک روی رودخونه نشسته بودن، اون فضای مه آلود و حرکت دوربین و موسیقی وهم برانگیز، یک سکانس فوق العاده رویاگونه ای رو خلق کرده بود. 
فارغ از اینها، هرچه قدر آثار بیشتری از میزوگوچی میبینم، به استاد بودنش در به تصویر کشیدن شرایط غم آلود و بسیار دشوار زندگی انسان های ضعیف جامعه پی میبرم. 
در این فیلم نیز، علی رغم اینکه راویِ داستانی با درون مایه اساطیری است، اما تمرکز میزوگوچی بر روی عواقب تصمیم آدم های ضعیف النفسی است که در زیر مشکلات زندگی کمر خم کرده اند و این غم و اندوه ناشی از این عواقب را به زیبا ترین شکل ممکن نشان می دهد.",4.0,positivo
"É tudo muito caprichado, a atmosfera de guerra e que evoca o sentimento de abandono (tanto daqueles locais destruídos, como dos que abandonaram a vida, e também, como das personagens que deixam para trás seus próprios valores naquele caos), traz ao filme um visual muito forte. Senão fosse por isso, Ugetsu seria só mais um conto de ambição.",4.5,positivo
"En güzel renkten en iyi ipek bile gün gelir solup kaybolur, tıpkı hayatım gibi'",4.0,positivo
"Para uğruna gittiğin bu yolda
Aşk, acı, ihanet, pişmanlık
Ve emellerinin ardında bıraktığın ailen
Yağmurdan Sonraki Soluk Ayın Öyküleri",5.0,positivo
"Dump those useless stupid men, ladies…",4.5,positivo
"Ugetsu erzählt eine klassische Märchengeschichte über Gier, Egoismus und die verheerende Auswirkung des Krieges. Während - wie bei Kenji Mizoguchi üblich - das tragische Schicksal der Frauen zu Zeit des japanischen Bürgerkriegs besonders im Fokus steht, versuchen die Männer Profit aus den Unruhen zu schlagen, oder ihre eigene Heldenerzählung zu verwirklichen. 
Verwoben wird dieses realistische Drama mit einer mysteriösen Geistergeschichte und so fließen Realität und Fantasie im Verlauf des Films ineinander über, denn das Trauma des Krieges lässt selbst die Toten nicht los. 
Neben der mitreisenden Geschichte, sticht vor allem die Inszenierung hervor. Die langen dynamischen Einstellungen, die Kameraperspektiven, das Spiel mit Licht und Schatten und die sphärische Filmmusik, die viele traditionelle japanische Sounds aufgreift.
Die Szene des Films: Nach dem sehr realistischen Beginn, deuten sich die fantastischen Elemente das erste mal bei der Überquerung eines Sees an. Dicke Nebelschwaden hängen des Nachts über dem Gewässer. Die Bootsfrau stimmt ein trauriges Lied an, während in der Ferne das Trommeln des Krieges zu hören ist. Plötzlich taucht aus dem Nebel ein unbemanntes Boot - ein Geisterboot - auf.
Nr. 11 #Japanuary
Mein Japanuary",4.0,positivo
"Japanuary 2022 #5
Männer sind die Träger von Kriegen, Frauen seine größten Leidtragenden.
Selten wurde diese fast schon zum Allgemeinplatz verkommene Grundwahrheit so profund und poetisch ausformuliert.",4.5,positivo
"Estaba un poco confuso porque el principio me parece bastante torpón y atropellado, pero luego endereza, endereza y coge carrerilla de tal forma que la segunda mitad es demoledora, cine impepinable de ese que simplemente es bueno por encima de lo que yo pueda ver en un primer visionado. Volveré a ella pronto, y con muchas ganas.",4.0,positivo
"arranca cómo una bélica y se termina metiendo con lo fantásmagorico de una marena muy buena. es un privilegio poder ver esto en un cine y que la presenten cómo algo único y especial, me encanta, estoy muy contento.",4.5,positivo
"ڕۆمانسی، فانتاسی، درامی، تراژیدی.
ئەو گێژاوەی بیست خولەکی کۆتایی یەکجار نایاب بوو چاوەڕێ بووم شتێک ڕوبدات وە ڕوشیدا، بۆ ساڵی پەنجاکان و کارکردن لەسەر ئەو چیرۆکە یەکجار قورس و باوەڕپێنەکراوە، چڵێسی و خەیاڵپڵاوی مرۆڤ دەگەیەننە ئاخیر تەبەقەی ئاسمان کاتێکیش خەبەرت دەبێتەوە دەبینیت کەسە نزیکەکانت کەم تا زۆر لەلات نەماون، ئەو منداڵە ھەدێیەک بوو بۆ کارەکتەری پیاوەکە ئەگین ئەو بارودۆخەی پیای تێپەڕی ئەستەمە کەست لە چواردەور بێڵێتەوە تەواو تەنیات ئەکات لە حالەتی پەشیمانیدا.
جوانترین و خەمناک ترین دیمەن دیمەنی کۆتایی بوو لەلام کاتێک منداڵەکە خواردنەکە دەباتە سەر گۆڕی دایکی،ئەوە بێئاگاییەکی تەواوی منداڵانە بوو ھەستێکی سەیری لا دروست کردم لەگەڵیشیا خەمێکی گەورەی دامێ، ھەموو شتێکی سروشتییە ئەو فیلمە بەتایبەت میوزیکەکەی.",5.0,positivo
"Uma fabula sobre os perigos de se perder e se deixar consumir pela ganancia usando como cenário uma terra devastada física e moralmente pela guerra. Imagens de saques violentos e de desolação coexistem com a mansão quase etérea onde mora a fantasma e que seduz o protagonista justamente pela sua paz que parece tão distante dos horrores que ele viu, mas nem mesmo ela estava imune dos efeitos do conflito. Foi uma grata surpresa pra mim ver que a personagem fantasmagórica que seduz o protagonista não é retratada como uma vilã, mas apenas mais uma vitima dos conflitos e que foi impedida de ter varias experiências em vida. Existem apenas vitimas de uma guerra que vai pouco a pouco engolindo a vida e a dignidade dos protagonistas.
Hooptober 8
Filmes de terror asiáticos 2/3
Filmes de décadas diferentes 5/8",4.0,positivo
L'ambiance 😶,4.5,positivo
"Es gibt Filme, die kann man nicht beschreiben. Es gibt Filme, die will man nicht beschreiben.
Für dieses Meisterwerk gilt beides.
>> Tipp: Kostenlos zu sehen auf Dailymotion. Anschauen und dabei den Menschen ein Stück weit besser verstehen.",5.0,positivo
dinheiro na mão é vendaval,0.0,
چقدر تاثیرگذار و فراموش‌نشدنی بود اون سکانس بعد از برگشت به خونه و اون خیالِ تلخ و گزنده اما حیف که فیلم کمی زیادی تمثیلی شد و به قدر کافی وارد زندگی این دو زوج نشد. از همین ساختن دقیق رابطه‌ها و شخصیت‌ها میشد حرص‌های انسانی رو به نقد کشید بجای کلی‌گویی‌هایی که بوی پند و اندرز میدادن.,1.5,negativo
men do be like that sometimes,4.0,positivo
"Se desarrolla en un contexto bélico, donde la avaricia de dinero y poder lleva a los hombres a la ruina tanto física como moral. Capta con solvencia las imágenes que quiere transmitirnos e incluso, sin mostrarlas, sabemos la referencia que nos brinda.",5.0,positivo
